card,level,trophies,win,draw,lose
Archers,5,1100,0,0,1
Archers,7,1100,1,0,1
Archers,6,1400,1,0,0
Archers,7,1400,0,0,1
Archers,12,1400,0,0,1
Archers,6,1600,1,0,0
Archers,6,1700,1,0,0
Archers,7,1700,0,0,2
Archers,8,1700,1,0,0
Archers,7,1800,0,0,2
Archers,8,1800,0,0,1
Archers,9,1800,0,0,1
Archers,7,1900,0,0,2
Archers,13,2000,1,0,0
Archers,7,2300,0,0,1
Archers,8,2300,1,0,0
Archers,7,2400,1,0,1
Archers,8,2400,2,0,1
Archers,7,2500,0,0,1
Archers,6,2600,1,0,1
Archers,7,2700,0,0,1
Archers,7,2800,0,0,2
Archers,8,2800,1,0,0
Archers,7,2900,1,0,1
Archers,9,2900,0,0,1
Archers,6,3000,1,0,0
Archers,11,3000,0,0,1
Archers,7,3100,1,0,0
Archers,8,3100,0,0,2
Archers,9,3100,1,0,0
Archers,7,3200,1,0,1
Archers,8,3200,2,0,0
Archers,6,3300,1,0,0
Archers,7,3300,1,0,0
Archers,8,3300,1,0,0
Archers,9,3300,1,0,0
Archers,13,3300,0,0,1
Archers,6,3400,0,0,2
Archers,8,3400,0,0,1
Archers,13,3400,0,0,1
Archers,7,3500,2,0,1
Archers,8,3500,2,0,4
Archers,6,3600,0,0,2
Archers,7,3600,5,0,4
Archers,8,3600,10,0,9
Archers,9,3600,7,0,3
Archers,11,3600,0,0,1
Archers,13,3600,0,0,2
Archers,3,3700,0,0,1
Archers,6,3700,2,0,3
Archers,7,3700,3,0,6
Archers,8,3700,19,0,24
Archers,9,3700,32,0,44
Archers,10,3700,1,0,1
Archers,12,3700,1,0,0
Archers,13,3700,0,0,2
Archers,5,3800,0,0,1
Archers,6,3800,1,0,2
Archers,7,3800,2,0,6
Archers,8,3800,15,0,15
Archers,9,3800,22,0,33
Archers,10,3800,0,0,2
Archers,11,3800,1,0,0
Archers,13,3800,0,0,1
Archers,6,3900,0,0,2
Archers,7,3900,3,0,7
Archers,8,3900,5,0,8
Archers,9,3900,5,0,14
Archers,10,3900,1,0,1
Archers,11,3900,0,0,1
Archers,12,3900,1,0,0
Archers,13,3900,0,0,2
Archers,7,4000,2,0,3
Archers,8,4000,2,0,6
Archers,9,4000,1,0,4
Archers,12,4000,0,0,2
Archers,13,4000,0,0,4
Archers,6,4100,0,0,3
Archers,7,4100,1,0,3
Archers,8,4100,3,0,11
Archers,9,4100,7,0,18
Archers,10,4100,0,0,5
Archers,11,4100,2,0,1
Archers,13,4100,2,0,6
Archers,6,4200,0,0,2
Archers,7,4200,4,0,7
Archers,8,4200,3,0,18
Archers,9,4200,8,0,28
Archers,10,4200,6,0,3
Archers,11,4200,5,0,9
Archers,12,4200,0,0,4
Archers,13,4200,2,0,3
Archers,6,4300,0,0,3
Archers,7,4300,5,0,16
Archers,8,4300,11,0,26
Archers,9,4300,17,0,33
Archers,10,4300,11,0,11
Archers,11,4300,13,0,23
Archers,12,4300,2,0,1
Archers,13,4300,5,0,3
Archers,5,4400,0,0,1
Archers,6,4400,1,0,1
Archers,7,4400,4,0,14
Archers,8,4400,5,0,31
Archers,9,4400,14,0,34
Archers,10,4400,14,0,25
Archers,11,4400,20,0,39
Archers,12,4400,7,0,5
Archers,13,4400,4,0,5
Archers,1,4500,1,0,0
Archers,6,4500,1,0,1
Archers,7,4500,2,0,13
Archers,8,4500,11,0,31
Archers,9,4500,18,0,58
Archers,10,4500,34,0,44
Archers,11,4500,38,0,47
Archers,12,4500,26,0,17
Archers,13,4500,11,0,9
Archers,6,4600,0,0,2
Archers,7,4600,4,0,4
Archers,8,4600,6,0,28
Archers,9,4600,20,0,61
Archers,10,4600,40,0,62
Archers,11,4600,49,0,64
Archers,12,4600,59,0,59
Archers,13,4600,47,0,40
Archers,6,4700,1,0,1
Archers,7,4700,2,0,4
Archers,8,4700,4,0,22
Archers,9,4700,28,0,64
Archers,10,4700,36,0,71
Archers,11,4700,69,0,91
Archers,12,4700,47,0,64
Archers,13,4700,95,0,84
Archers,8,4800,3,0,10
Archers,9,4800,25,0,44
Archers,10,4800,45,0,77
Archers,11,4800,79,0,125
Archers,12,4800,78,0,96
Archers,13,4800,86,0,115
Archers,8,4900,1,0,0
Archers,9,4900,6,0,14
Archers,10,4900,36,0,64
Archers,11,4900,98,0,147
Archers,12,4900,127,0,132
Archers,13,4900,101,0,97
Archers,6,5000,0,0,1
Archers,9,5000,1,0,4
Archers,10,5000,18,0,33
Archers,11,5000,79,0,120
Archers,12,5000,171,0,189
Archers,13,5000,180,0,142
Archers,9,5100,0,0,1
Archers,10,5100,3,0,11
Archers,11,5100,29,0,50
Archers,12,5100,152,0,217
Archers,13,5100,246,0,195
Archers,10,5200,0,0,3
Archers,11,5200,7,0,24
Archers,12,5200,73,0,126
Archers,13,5200,248,0,262
Archers,8,5300,0,0,1
Archers,10,5300,1,0,0
Archers,11,5300,3,0,6
Archers,12,5300,37,0,50
Archers,13,5300,273,0,249
Archers,12,5400,12,0,20
Archers,13,5400,213,0,220
Archers,11,5500,0,0,1
Archers,12,5500,5,0,8
Archers,13,5500,118,0,171
Archers,10,5600,0,0,2
Archers,12,5600,2,0,9
Archers,13,5600,96,0,114
Archers,11,5700,0,0,1
Archers,12,5700,0,0,2
Archers,13,5700,69,0,84
Archers,12,5800,0,0,4
Archers,13,5800,48,0,60
Archers,12,5900,0,0,1
Archers,13,5900,22,0,24
Archers,12,6000,1,0,0
Archers,13,6000,18,0,13
Archers,13,6100,10,0,9
Archers,13,6200,3,0,5
Archers,12,6300,0,0,1
Archers,13,6300,3,0,1
Archers,13,6400,5,0,2
Archers,13,6500,2,0,3
Archers,13,6800,2,0,0
Archers,13,6900,1,0,1
Archers,13,7000,0,0,1
Arrows,5,400,0,0,1
Arrows,9,600,0,0,1
Arrows,5,800,1,0,0
Arrows,6,1100,0,0,1
Arrows,7,1100,1,0,1
Arrows,10,1100,0,0,1
Arrows,6,1200,1,0,1
Arrows,7,1400,0,0,1
Arrows,12,1400,0,0,1
Arrows,5,1600,1,0,0
Arrows,8,1600,0,0,1
Arrows,5,1700,1,0,0
Arrows,6,1700,1,0,4
Arrows,7,1700,2,0,1
Arrows,5,1800,0,0,1
Arrows,6,1800,2,0,2
Arrows,7,1800,1,0,1
Arrows,8,1800,0,0,2
Arrows,1,1900,1,0,0
Arrows,5,1900,1,0,1
Arrows,6,1900,1,0,1
Arrows,7,1900,1,0,6
Arrows,4,2000,1,0,0
Arrows,6,2000,0,0,1
Arrows,8,2000,1,0,0
Arrows,10,2000,0,0,1
Arrows,13,2000,1,0,0
Arrows,6,2100,2,0,4
Arrows,7,2100,2,0,2
Arrows,8,2100,0,0,1
Arrows,6,2200,0,0,1
Arrows,7,2200,3,0,8
Arrows,8,2200,0,0,1
Arrows,6,2300,1,0,1
Arrows,7,2300,3,0,1
Arrows,9,2300,0,0,1
Arrows,6,2400,1,0,8
Arrows,7,2400,3,0,0
Arrows,8,2400,3,0,0
Arrows,9,2400,0,0,1
Arrows,6,2500,2,0,0
Arrows,7,2500,0,0,3
Arrows,8,2500,1,0,0
Arrows,6,2600,1,0,0
Arrows,7,2600,1,0,1
Arrows,12,2600,0,0,1
Arrows,4,2700,1,0,0
Arrows,5,2700,1,0,0
Arrows,7,2700,3,0,2
Arrows,9,2700,0,0,1
Arrows,13,2700,0,0,1
Arrows,7,2800,2,0,5
Arrows,8,2800,2,0,1
Arrows,9,2800,1,0,0
Arrows,6,2900,0,0,1
Arrows,7,2900,2,0,3
Arrows,8,2900,2,0,0
Arrows,10,2900,0,0,1
Arrows,6,3000,2,0,0
Arrows,7,3000,3,0,0
Arrows,8,3000,1,0,0
Arrows,6,3100,1,0,1
Arrows,7,3100,4,0,2
Arrows,8,3100,1,0,1
Arrows,11,3100,0,0,1
Arrows,13,3100,0,0,1
Arrows,6,3200,0,0,1
Arrows,7,3200,5,0,2
Arrows,8,3200,2,0,1
Arrows,9,3200,0,0,1
Arrows,6,3300,1,0,0
Arrows,7,3300,1,0,0
Arrows,8,3300,1,0,0
Arrows,9,3300,0,0,1
Arrows,11,3300,0,0,1
Arrows,13,3300,0,0,2
Arrows,6,3400,2,0,4
Arrows,7,3400,5,0,4
Arrows,8,3400,3,0,7
Arrows,9,3400,1,0,0
Arrows,12,3400,0,0,1
Arrows,7,3500,0,0,10
Arrows,8,3500,3,0,7
Arrows,9,3500,0,0,3
Arrows,2,3600,1,0,0
Arrows,5,3600,0,0,1
Arrows,6,3600,1,0,4
Arrows,7,3600,11,0,14
Arrows,8,3600,7,0,12
Arrows,9,3600,3,0,8
Arrows,10,3600,1,0,1
Arrows,11,3600,0,0,2
Arrows,12,3600,0,0,1
Arrows,13,3600,1,0,1
Arrows,5,3700,0,0,1
Arrows,6,3700,4,0,7
Arrows,7,3700,11,0,34
Arrows,8,3700,14,0,50
Arrows,9,3700,9,0,16
Arrows,10,3700,1,0,0
Arrows,11,3700,0,0,1
Arrows,12,3700,2,0,0
Arrows,5,3800,0,0,1
Arrows,6,3800,4,0,7
Arrows,7,3800,28,0,41
Arrows,8,3800,22,0,46
